atc3_S	atc4_S [drugs_S]	atc3_T	atc4_T [drugs_T]	Patients	thf	CYPS
Corticosteroids for systemic use, plain (H02A)	Glucocorticoids (H02AB) [prednisone]	Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,lansoprazole,omeprazole,pantoprazole]	332		2C19
Corticosteroids for systemic use, plain (H02A)	Glucocorticoids (H02AB) [prednisone]	Antithrombotic agents (B01A)	Vitamin K antagonists (B01AA) [warfarin]	53		2C19
Corticosteroids for systemic use, plain (H02A)	Glucocorticoids (H02AB) [dexamethasone,prednisone]	Antidepressants (N06A)	Selective serotonin reuptake inhibitors (N06AB) [citalopram,escitalopram,fluoxetine,fluvoxamine,paroxetine]	14		2D6
Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [omeprazole]	Other analgesics and antipyretics (N02B)	Anilides (N02BE) [acetaminophen]	50		1A2
Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [omeprazole]	Antidepressants (N06A)	Other antidepressants (N06AX) [duloxetine]	8		1A2
Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [omeprazole]	Other systemic drugs for obstructive airway diseases (R03D)	Xanthines (R03DA) [theophylline]	7		1A2
Antiepileptics (N03A)	Barbiturates and derivatives (N03AA) [phenobarbital]	Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,lansoprazole,omeprazole,pantoprazole]	44		3A457
Antiepileptics (N03A)	Carboxamide derivatives (N03AF) [carbamazepine,oxcarbazepine]	Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,lansoprazole,omeprazole,pantoprazole]	35		2C19
Antiepileptics (N03A)	Carboxamide derivatives (N03AF) [carbamazepine,oxcarbazepine]	Selective calcium channel blockers with mainly vascular effects (C08C)	Dihydropyridine derivatives (C08CA) [amlodipine,felodipine,lercanidipine,nifedipine,nisoldipine,nitrendipine]	12	Reduced antihypertensive effect	3A457
Blood glucose lowering drugs, excl. insulins (A10B)	Thiazolidinediones (A10BG) [pioglitazone]	Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,lansoprazole,omeprazole,pantoprazole]	9		3A457
Blood glucose lowering drugs, excl. insulins (A10B)	Thiazolidinediones (A10BG) [pioglitazone]	Selective calcium channel blockers with mainly vascular effects (C08C)	Dihydropyridine derivatives (C08CA) [amlodipine,felodipine,lercanidipine,nifedipine,nisoldipine,nitrendipine]	5	Reduced antihypertensive effect	3A457
Blood glucose lowering drugs, excl. insulins (A10B)	Thiazolidinediones (A10BG) [pioglitazone]	Lipid modifying agents, plain (C10A)	HMG CoA reductase inhibitors (C10AA) [atorvastatin]	5		3A457
Drugs for treatment of tuberculosis (J04A)	Antibiotics (J04AB) [rifampin]	Drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD) (A02B)	Proton pump inhibitors (A02BC) [esomeprazole,lansoprazole,omeprazole,pantoprazole]	5		2C19,3A457
